Date,CD_ACAO,Close,Close,Close
,,ABEV3.SA,ASAI3.SA,AXIA3.SA
2025-09-01,ABEV3.SA,11.654780387878418,,
2025-09-02,ABEV3.SA,11.522123336791992,,
2025-09-03,ABEV3.SA,11.275762557983398,,
2025-09-04,ABEV3.SA,11.522123336791992,,
2025-09-05,ABEV3.SA,11.607402801513672,,
2025-09-08,ABEV3.SA,11.503173828125,,
2025-09-09,ABEV3.SA,11.683206558227539,,
2025-09-10,ABEV3.SA,11.711631774902344,,
2025-09-11,ABEV3.SA,11.863240242004395,,
2025-09-12,ABEV3.SA,11.92009162902832,,
2025-09-15,ABEV3.SA,11.967469215393066,,
2025-09-16,ABEV3.SA,12.043272972106934,,
2025-09-17,ABEV3.SA,12.119075775146484,,
2025-09-18,ABEV3.SA,11.863240242004395,,
2025-09-19,ABEV3.SA,11.8916654586792,,
2025-09-22,ABEV3.SA,11.711631774902344,,
2025-09-23,ABEV3.SA,11.806386947631836,,
2025-09-24,ABEV3.SA,11.730583190917969,,
2025-09-25,ABEV3.SA,11.806386947631836,,
2025-09-26,ABEV3.SA,11.806386947631836,,
2025-09-29,ABEV3.SA,11.75900936126709,,
2025-09-30,ABEV3.SA,11.455796241760254,,
2025-10-01,ABEV3.SA,11.361041069030762,,
2025-10-02,ABEV3.SA,11.304189682006836,,
2025-10-03,ABEV3.SA,11.247336387634277,,
2025-10-06,ABEV3.SA,11.228385925292969,,
2025-10-07,ABEV3.SA,11.09572982788086,,
2025-10-08,ABEV3.SA,11.25681209564209,,
2025-10-09,ABEV3.SA,11.105205535888672,,
2025-10-10,ABEV3.SA,11.190484046936035,,
2025-10-13,ABEV3.SA,11.237860679626465,,
2025-10-14,ABEV3.SA,11.41789436340332,,
2025-10-15,ABEV3.SA,11.361041069030762,,
2025-10-16,ABEV3.SA,11.512648582458496,,
2025-10-17,ABEV3.SA,11.721107482910156,,
2025-10-20,ABEV3.SA,11.711631774902344,,
2025-10-21,ABEV3.SA,11.57897663116455,,
2025-10-22,ABEV3.SA,11.436844825744629,,
2025-10-23,ABEV3.SA,11.484222412109375,,
2025-10-24,ABEV3.SA,11.474746704101562,,
2025-10-27,ABEV3.SA,11.512648582458496,,
2025-10-28,ABEV3.SA,11.398942947387695,,
2025-10-29,ABEV3.SA,11.398942947387695,,
2025-10-30,ABEV3.SA,11.929567337036133,,
2025-10-31,ABEV3.SA,12.043272972106934,,
2025-11-03,ABEV3.SA,12.232781410217285,,
2025-11-04,ABEV3.SA,12.469666481018066,,
2025-11-05,ABEV3.SA,12.488617897033691,,
2025-11-06,ABEV3.SA,12.393863677978516,,
2025-11-07,ABEV3.SA,12.43176555633545,,
